name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
ROXBURY,4,1014217.6641,146005.24971,1,0,Roxbury,,,QUEENS,291,1
RUGBY,3,1004537.693,178127.52306,1,0,Rugby,,,BROOKLYN,226,1
RUSHVILLE,,,,,,,,,,,
RUSSELL GARDENS,,,,,,,,,,,
RYE,,,,,,,,,,,
RYE BROOK,,,,,,,,,,,
SACKETS HARBOR,,,,,,,,,,,
SADDLE ROCK,,,,,,,,,,,
SADDLE ROCK ESTATES,,,,,,,,,,,
SAG HARBOR,,,,,,,,,,,
SAGAPONACK,,,,,,,,,,,
SAINT BONAVENTURE,,,,,,,,,,,
SAINT JAMES,,,,,,,,,,,
SAINT JOHNSVILLE,,,,,,,,,,,
SALAMANCA,,,,,,,,,,,
SALEM,,,,,,,,,,,
SALISBURY,,,,,,,,,,,
SALTAIRE,,,,,,,,,,,
SAND RIDGE,,,,,,,,,,,
SANDS POINT,,,,,,,,,,,
SANDY CREEK,,,,,,,,,,,
SANDY GROUND,5,923723.74374,136503.63813,1,0,Sandy,Ground,,STATEN ISLAND,289,2
SARANAC LAKE,,,,,,,,,,,
SARATOGA SPRINGS,,,,,,,,,,,
SAUGERTIES,,,,,,,,,,,
SAUGERTIES SOUTH,,,,,,,,,,,
SAVONA,,,,,,,,,,,
SAYVILLE,,,,,,,,,,,
SCARSDALE,,,,,,,,,,,
SCHAGHTICOKE,,,,,,,,,,,
SCHENECTADY,,,,,,,,,,,
SCHOHARIE,,,,,,,,,,,
SCHUYLERVILLE,2,1032349.1125,240470.1487,1,0,Schuylerville,,,BRONX,39,1
SCOTCHTOWN,,,,,,,,,,,
SCOTIA,,,,,,,,,,,
SCOTTS CORNERS,,,,,,,,,,,
SCOTTSVILLE,,,,,,,,,,,
SEA CLIFF,,,,,,,,,,,
SEA GATE,3,982062.88888,149265.63361,1,0,Sea,Gate,,BROOKLYN,86,2
SEAFORD,,,,,,,,,,,
SEARINGTOWN,,,,,,,,,,,
SEASIDE,4,1033592.3852,151656.83388,1,0,Seaside,,,QUEENS,181,1
SELDEN,,,,,,,,,,,
SENECA FALLS,,,,,,,,,,,
SENECA KNOLLS,,,,,,,,,,,
SETAUKET-EAST SETAUKET,,,,,,,,,,,
SHARON SPRINGS,,,,,,,,,,,
SHEEPSHEAD BAY,3,1000030.0468,153101.43794,1,0,Sheepshead,Bay,,BROOKLYN,53,2
SHELTER ISLAND,,,,,,,,,,,
SHELTER ISLAND HEIGHTS,,,,,,,,,,,
SHENOROCK,,,,,,,,,,,
SHERBURNE,,,,,,,,,,,
SHERMAN,,,,,,,,,,,
SHERRILL,,,,,,,,,,,
SHINNECOCK HILLS,,,,,,,,,,,
SHIRLEY,,,,,,,,,,,
SHOKAN,,,,,,,,,,,
SHORE ACRES,5,965736.52816,161420.63292,1,0,Shore,Acres,,STATEN ISLAND,255,2
SHOREHAM,,,,,,,,,,,
SHORTSVILLE,,,,,,,,,,,
SHRUB OAK,,,,,,,,,,,
SIDNEY,,,,,,,,,,,
SILVER CREEK,,,,,,,,,,,
SILVER LAKE,5,957518.19158,164879.82022,1,0,Silver,Lake,,STATEN ISLAND,222,2
SILVER SPRINGS,,,,,,,,,,,
SINCLAIRVILLE,,,,,,,,,,,
SKANEATELES,,,,,,,,,,,
SLEEPY HOLLOW,,,,,,,,,,,
SLOAN,,,,,,,,,,,
SLOATSBURG,,,,,,,,,,,
SMALLWOOD,,,,,,,,,,,
SMITHTOWN,,,,,,,,,,,
SMYRNA,,,,,,,,,,,
SODUS,,,,,,,,,,,
SODUS POINT,,,,,,,,,,,
SOHO,1,984067.9787,202387.58445,1,0,Soho,,,MANHATTAN,125,1
SOLVAY,,,,,,,,,,,
SOMERVILLE,4,1040722.2096,157104.04772,1,0,Somerville,,,QUEENS,195,1
SOUND BEACH,,,,,,,,,,,
SOUNDVIEW,2,1021408.4477,238422.53141,1,0,Soundview,,,BRONX,27,1
SOUTH BEACH,5,962151.87949,150686.24822,1,0,South,Beach,,STATEN ISLAND,207,2
SOUTH CORNING,,,,,,,,,,,
SOUTH CORONA,4,1023924.4344,209778.73764,1,0,South,Corona,,QUEENS,137,2
SOUTH DAYTON,,,,,,,,,,,
SOUTH FALLSBURG,,,,,,,,,,,
SOUTH FARMINGDALE,,,,,,,,,,,
SOUTH FLORAL PARK,,,,,,,,,,,
SOUTH GLENS FALLS,,,,,,,,,,,
SOUTH HEMPSTEAD,,,,,,,,,,,
SOUTH HILL,,,,,,,,,,,
SOUTH HUNTINGTON,,,,,,,,,,,
SOUTH JAMAICA,4,1042363.4527,193249.53448,1,0,South Jamaica,,,QUEENS,167,1
SOUTH LOCKPORT,,,,,,,,,,,
SOUTH NYACK,,,,,,,,,,,
SOUTH OZONE PARK,4,1036995.6789,182904.28122,1,0,South,Ozone Park,,QUEENS,151,2
SOUTH SIDE,3,995893.6332,198265.29053,1,0,South Side,,,BROOKLYN,99,1
SOUTH VALLEY STREAM,,,,,,,,,,,
SOUTHAMPTON,,,,,,,,,,,
SOUTHOLD,,,,,,,,,,,
SOUTHPORT,,,,,,,,,,,
SPACKENKILL,,,,,,,,,,,
SPECULATOR,,,,,,,,,,,
SPENCER,,,,,,,,,,,
SPENCERPORT,,,,,,,,,,,
SPRING CREEK,3,1020323.0561,178716.71414,1,0,Spring,Creek,,BROOKLYN,96,2
SPRING VALLEY,,,,,,,,,,,
SPRINGFIELD GARDENS,4,1050714.2503,182093.01841,1,0,Springfield,Gardens,,QUEENS,170,2
SPRINGS,,,,,,,,,,,
SPRINGVILLE,,,,,,,,,,,
SPUYTEN DUYVIL,2,1007149.0119,260404.62655,1,0,Spuyten,Duyvil,,BRONX,36,2
ST. ALBANS,4,1051169.9987,192373.80822,1,0,St. Albans,,,QUEENS,168,1
ST. GEORGE,5,962228.74449,174270.5311,1,0,St.,George,,STATEN ISLAND,200,2
STAATSBURG,,,,,,,,,,,
STAMFORD,,,,,,,,,,,
STANNARDS,,,,,,,,,,,
STAPLETON,5,962625.6164,167692.63284,1,0,Stapleton,,,STATEN ISLAND,202,1
STAR LAKE,,,,,,,,,,,
STARRETT CITY,3,1017724.7542,175233.58265,1,0,Starrett,City,,BROOKLYN,74,2
STATEN ISLAND,5,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
STEINWAY,4,1011312.3592,221981.58758,1,0,Steinway,,,QUEENS,176,1
STEWART MANOR,,,,,,,,,,,
STILLWATER,,,,,,,,,,,
STONE RIDGE,,,,,,,,,,,
STONY BROOK,,,,,,,,,,,
STONY POINT,,,,,,,,,,,
STOTTVILLE,,,,,,,,,,,
STUYVESANT TOWN,1,991441.61914,205600.48681,1,0,Stuyvesant,Town,,MANHATTAN,278,2
SUFFERN,,,,,,,,,,,
SUNNYSIDE,4,1004502.5287,208951.24127,1,0,Sunnyside,,,QUEENS,143,1
SUNNYSIDE,5,957283.71928,162536.38528,1,0,Sunnyside,,,STATEN ISLAND,223,1
SUNNYSIDE GARDENS,4,1006918.014,210948.28485,1,0,Sunnyside,Gardens,,QUEENS,280,2
SUNSET PARK,3,981387.16418,174304.94672,1,0,Sunset,Park,,BROOKLYN,49,2
SUTTON PLACE,1,994346.04607,216269.44546,1,0,Sutton,Place,,MANHATTAN,274,2
SYLVAN BEACH,,,,,,,,,,,
SYOSSET,,,,,,,,,,,
SYRACUSE,,,,,,,,,,,
TANNERSVILLE,,,,,,,,,,,
TAPPAN,,,,,,,,,,,
TARRYTOWN,,,,,,,,,,,
TERRYVILLE,,,,,,,,,,,
THERESA,,,,,,,,,,,
THIELLS,,,,,,,,,,,
THOMASTON,,,,,,,,,,,
THORNWOOD,,,,,,,,,,,
THROGS NECK,2,1035084.6565,236296.69084,1,0,Throgs Neck,,,BRONX,29,1
TILLSON,,,,,,,,,,,
TIVOLI,,,,,,,,,,,
TODT HILL,5,953333.00113,156824.21298,1,0,Todt,Hill,,STATEN ISLAND,206,2
TOMPKINSVILLE,5,961893.05586,171478.08492,1,0,Tompkinsville,,,STATEN ISLAND,221,1
TONAWANDA,,,,,,,,,,,
TONAWANDA,,,,,,,,,,,
TOTTENVILLE,5,915681.50753,123479.8922,1,0,Tottenville,,,STATEN ISLAND,220,1
TOWN LINE,,,,,,,,,,,
TRAVIS,5,931272.09282,152944.01043,1,0,Travis,,,STATEN ISLAND,213,1
TRIBECA,1,981288.68603,202146.62332,1,0,Tribeca,,,MANHATTAN,123,1
TRIBES HILL,,,,,,,,,,,
TROY,,,,,,,,,,,
TRUMANSBURG,,,,,,,,,,,
TUCKAHOE,,,,,,,,,,,
TUCKAHOE,,,,,,,,,,,
TUDOR CITY,1,992224.72354,211400.11039,1,0,Tudor,City,,MANHATTAN,277,2
TULLY,,,,,,,,,,,
TUPPER LAKE,,,,,,,,,,,
TURIN,,,,,,,,,,,
TURTLE BAY,1,993196.8945,213267.63683,1,0,Turtle,Bay,,MANHATTAN,276,2
TUXEDO PARK,,,,,,,,,,,
UNADILLA,,,,,,,,,,,
UNION SPRINGS,,,,,,,,,,,
UNIONDALE,,,,,,,,,,,
UNIONPORT,2,1025613.0167,241621.69725,1,0,Unionport,,,BRONX,45,1
UNIONVILLE,,,,,,,,,,,
UNIVERSITY GARDENS,,,,,,,,,,,
UNIVERSITY HEIGHTS,2,1009031.9084,251054.6528,1,0,University,Heights,,BRONX,15,2
UPPER BROOKVILLE,,,,,,,,,,,
UPPER EAST SIDE,1,995188.05226,221865.32797,1,0,Upper,East,Side,MANHATTAN,110,3
UPPER NYACK,,,,,,,,,,,
UPPER WEST SIDE,1,990602.67003,226242.77854,1,0,Upper,West,Side,MANHATTAN,114,3
UTICA,,,,,,,,,,,
UTOPIA,4,1040588.1649,206575.87561,1,0,Utopia,,,QUEENS,267,1
VAILS GATE,,,,,,,,,,,
VALATIE,,,,,,,,,,,
VALHALLA,,,,,,,,,,,
VALLEY COTTAGE,,,,,,,,,,,
VALLEY FALLS,,,,,,,,,,,
VALLEY STREAM,,,,,,,,,,,
VAN ETTEN,,,,,,,,,,,
VAN NEST,2,1021242.8007,246654.94375,1,0,Van,Nest,,BRONX,33,2
VERNON,,,,,,,,,,,
VERPLANCK,,,,,,,,,,,
VICTOR,,,,,,,,,,,
VICTORY,,,,,,,,,,,
VILLAGE GREEN,,,,,,,,,,,
VILLAGE OF THE BRANCH,,,,,,,,,,,
VINEGAR HILL,3,989485.90028,195516.02437,1,0,Vinegar,Hill,,BROOKLYN,283,2
VIOLA,,,,,,,,,,,
VOORHEESVILLE,,,,,,,,,,,
WADDINGTON,,,,,,,,,,,
WADING RIVER,,,,,,,,,,,
WAINSCOTT,,,,,,,,,,,
WAKEFIELD,2,1026494.6048,265280.09186,1,0,Wakefield,,,BRONX,1,1
WALDEN,,,,,,,,,,,
WALKER VALLEY,,,,,,,,,,,
WALLKILL,,,,,,,,,,,
WALTON,,,,,,,,,,,
WALTON PARK,,,,,,,,,,,
WAMPSVILLE,,,,,,,,,,,
WANTAGH,,,,,,,,,,,
WAPPINGERS FALLS,,,,,,,,,,,
WARRENSBURG,,,,,,,,,,,
WARSAW,,,,,,,,,,,
WARWICK,,,,,,,,,,,
WASHINGTON HEIGHTS,1,1001706.4752,249654.83768,1,0,Washington,Heights,,MANHATTAN,104,2
WASHINGTONVILLE,,,,,,,,,,,
WATERFORD,,,,,,,,,,,
WATERLOO,,,,,,,,,,,
WATERMILL,,,,,,,,,,,
WATERTOWN,,,,,,,,,,,
WATERVILLE,,,,,,,,,,,
WATERVLIET,,,,,,,,,,,
WATKINS GLEN,,,,,,,,,,,
WAVERLY,,,,,,,,,,,
WAYLAND,,,,,,,,,,,
WEBSTER,,,,,,,,,,,
WEEDSPORT,,,,,,,,,,,
WEEKSVILLE,3,1003519.6071,185219.27462,1,0,Weeksville,,,BROOKLYN,284,1
WELLSBURG,,,,,,,,,,,
WELLSVILLE,,,,,,,,,,,
WESLEY HILLS,,,,,,,,,,,
WEST BABYLON,,,,,,,,,,,
WEST BAY SHORE,,,,,,,,,,,
WEST BRIGHTON,5,954500.18678,169505.1092,1,0,West,Brighton,,STATEN ISLAND,204,2
WEST CARTHAGE,,,,,,,,,,,
WEST ELMIRA,,,,,,,,,,,
WEST END,,,,,,,,,,,
WEST FARMS,2,1018078.1056,245144.36081,1,0,West,Farms,,BRONX,19,2
WEST GLENS FALLS,,,,,,,,,,,
WEST HAMPTON DUNES,,,,,,,,,,,
WEST HAVERSTRAW,,,,,,,,,,,
WEST HEMPSTEAD,,,,,,,,,,,
WEST HILLS,,,,,,,,,,,
WEST HURLEY,,,,,,,,,,,
WEST ISLIP,,,,,,,,,,,
WEST NYACK,,,,,,,,,,,
WEST POINT,,,,,,,,,,,
WEST SAND LAKE,,,,,,,,,,,
WEST SAYVILLE,,,,,,,,,,,
WEST SENECA,,,,,,,,,,,
WEST VILLAGE,1,982537.29475,206850.73464,1,0,West,Village,,MANHATTAN,126,2
WEST WINFIELD,,,,,,,,,,,
WESTBURY,,,,,,,,,,,
WESTCHESTER SQUARE,2,1027914.2388,245577.04728,1,0,Westchester,Square,,BRONX,32,2
WESTERLEIGH,5,947316.51021,165584.43496,1,0,Westerleigh,,,STATEN ISLAND,228,1
WESTFIELD,,,,,,,,,,,
WESTHAMPTON,,,,,,,,,,,
WESTHAMPTON BEACH,,,,,,,,,,,
WESTMERE,,,,,,,,,,,
WESTON MILLS,,,,,,,,,,,
WESTVALE,,,,,,,,,,,
WHEATLEY HEIGHTS,,,,,,,,,,,
WHITE PLAINS,,,,,,,,,,,
WHITEHALL,,,,,,,,,,,
WHITESBORO,,,,,,,,,,,
WHITESTONE,4,1035705.32,223976.71647,1,0,Whitestone,,,QUEENS,153,1
WHITNEY POINT,,,,,,,,,,,
WILLIAMSBRIDGE,2,1023670.015,260296.13727,1,0,Williamsbridge,,,BRONX,10,1
WILLIAMSBURG,3,995862.58142,196911.03142,1,0,Williamsburg,,,BROOKLYN,62,1
WILLIAMSVILLE,,,,,,,,,,,
WILLISTON PARK,,,,,,,,,,,
WILLOWBROOK,5,947572.62223,159250.76094,1,0,Willowbrook,,,STATEN ISLAND,288,1
WILSON,,,,,,,,,,,
WINDHAM,,,,,,,,,,,
WINDSOR,,,,,,,,,,,
WINDSOR TERRACE,3,989778.83112,178620.09721,1,0,Windsor,Terrace,,BROOKLYN,59,2
WINGATE,3,1001677.0957,180083.29277,1,0,Wingate,,,BROOKLYN,225,1
WOLCOTT,,,,,,,,,,,
WOODBURY,,,,,,,,,,,
WOODHAVEN,4,1023599.1985,190652.69945,1,0,Woodhaven,,,QUEENS,149,1
WOODLAWN,2,1020931.5818,266570.79171,1,0,Woodlawn,,,BRONX,8,1
WOODMERE,,,,,,,,,,,
WOODRIDGE,,,,,,,,,,,
WOODROW,5,922724.15618,135162.77894,1,0,Woodrow,,,STATEN ISLAND,219,1
WOODSBURGH,,,,,,,,,,,
WOODSIDE,4,1011448.4955,211206.98118,1,0,Woodside,,,QUEENS,133,1
WOODSTOCK,,,,,,,,,,,
WURTSBORO,,,,,,,,,,,
WYANDANCH,,,,,,,,,,,
WYNANTSKILL,,,,,,,,,,,
WYOMING,,,,,,,,,,,
YAPHANK,,,,,,,,,,,
YONKERS,,,,,,,,,,,
YORKSHIRE,,,,,,,,,,,
YORKTOWN HEIGHTS,,,,,,,,,,,
YORKVILLE,1,998896.50646,221973.40518,1,0,York-,ville,,MANHATTAN,111,2
YOUNGSTOWN,,,,,,,,,,,
ZENA,,,,,,,,,,,
