name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
CHESTER,,,,,,,,,,,
CHESTNUT RIDGE,,,,,,,,,,,
CHINATOWN,1,985835.85148,199995.65222,1,0,Chinatown,,,MANHATTAN,103,1
CHITTENANGO,,,,,,,,,,,
CHURCHVILLE,,,,,,,,,,,
CITY ISLAND,2,1043321.8398,248024.24974,1,0,City,Island,,BRONX,13,2
CITY LINE,3,1020869.4829,186525.34353,1,0,City,Line,,BROOKLYN,91,2
CIVIC CENTER,1,982748.78449,199853.73945,1,0,Civic,Center,,MANHATTAN,252,2
CLAREMONT VILLAGE,2,1011591.5998,242204.45724,1,0,Claremont,Village,,BRONX,270,2
CLARENCE CENTER,,,,,,,,,,,
CLARK MILLS,,,,,,,,,,,
CLASON POINT,2,1024628.3707,233158.98485,1,0,Clason,Point,,BRONX,28,2
CLAVERACK-RED MILLS,,,,,,,,,,,
CLAYTON,,,,,,,,,,,
CLAYVILLE,,,,,,,,,,,
CLEVELAND,,,,,,,,,,,
CLIFTON,5,964083.22635,164868.1503,1,0,Clifton,,,STATEN ISLAND,256,1
CLIFTON SPRINGS,,,,,,,,,,,
CLINTON,1,985245.20928,215558.13947,1,0,Clinton,,,MANHATTAN,116,1
CLINTON HILL,3,993167.40768,191840.25384,1,0,Clinton,Hill,,BROOKLYN,85,2
CLINTONDALE,,,,,,,,,,,
CLYDE,,,,,,,,,,,
CO-OP CITY,2,1031281.3141,257852.3577,1,0,Co-op,City,,BRONX,2,2
COBBLE HILL,3,984648.97065,189904.14124,1,0,Cobble,Hill,,BROOKLYN,66,2
COBLESKILL,,,,,,,,,,,
COEYMANS,,,,,,,,,,,
COHOCTON,,,,,,,,,,,
COHOES,,,,,,,,,,,
COLD BROOK,,,,,,,,,,,
COLD SPRING,,,,,,,,,,,
COLD SPRING HARBOR,,,,,,,,,,,
COLLEGE POINT,4,1027715.0843,225277.05507,1,0,College,Point,,QUEENS,152,2
COLONIE,,,,,,,,,,,
COMMACK,,,,,,,,,,,
CONCORD,5,960918.47382,159513.4681,1,0,Concord,,,STATEN ISLAND,257,1
CONCOURSE,2,1007608.2882,243240.64382,1,0,Concourse,,,BRONX,44,1
CONCOURSE VILLAGE,2,1007540.4665,239778.16977,1,0,Concourse,Village,,BRONX,271,2
CONEY ISLAND,3,987393.91562,148506.9176,1,0,Coney Island,,,BROOKLYN,79,1
CONGERS,,,,,,,,,,,
CONSTABLEVILLE,,,,,,,,,,,
CONSTANTIA,,,,,,,,,,,
COOPERSTOWN,,,,,,,,,,,
COPAKE LAKE,,,,,,,,,,,
COPENHAGEN,,,,,,,,,,,
COPIAGUE,,,,,,,,,,,
CORAM,,,,,,,,,,,
CORFU,,,,,,,,,,,
CORINTH,,,,,,,,,,,
CORNING,,,,,,,,,,,
CORNWALL ON HUDSON,,,,,,,,,,,
CORTLAND,,,,,,,,,,,
CORTLAND WEST,,,,,,,,,,,
COUNTRY CLUB,2,1032918.337,246907.82972,1,0,Country,Club,,BRONX,30,2
COUNTRY KNOLLS,,,,,,,,,,,
COVE NECK,,,,,,,,,,,
COXSACKIE,,,,,,,,,,,
CRAGSMOOR,,,,,,,,,,,
CROGHAN,,,,,,,,,,,
CROMPOND,,,,,,,,,,,
CROTON-ON-HUDSON,,,,,,,,,,,
CROWN HEIGHTS,3,999981.14471,183682.65204,1,0,Crown,Heights,,BROOKLYN,56,2
CRUGERS,,,,,,,,,,,
CUBA,,,,,,,,,,,
CUMBERLAND HEAD,,,,,,,,,,,
CUTCHOGUE,,,,,,,,,,,
CYPRESS HILLS,3,1018687.5167,188732.11471,1,0,Cypress,Hills,,BROOKLYN,72,2
DANNEMORA,,,,,,,,,,,
DANSVILLE,,,,,,,,,,,
DEER PARK,,,,,,,,,,,
DEFERIET,,,,,,,,,,,
DELANSON,,,,,,,,,,,
DELEVAN,,,,,,,,,,,
DELHI,,,,,,,,,,,
DELMAR,,,,,,,,,,,
DEPAUVILLE,,,,,,,,,,,
DEPEW,,,,,,,,,,,
DEPOSIT,,,,,,,,,,,
DERING HARBOR,,,,,,,,,,,
DERUYTER,,,,,,,,,,,
DEXTER,,,,,,,,,,,
DITMAS PARK,3,995069.44587,173787.01173,1,0,Ditmas,Park,,BROOKLYN,224,2
DIX HILLS,,,,,,,,,,,
DOBBS FERRY,,,,,,,,,,,
DOLGEVILLE,,,,,,,,,,,
DONGAN HILLS,5,957475.76121,153760.57967,1,0,Dongan,Hills,,STATEN ISLAND,234,2
DOUGLASTON,4,1055578.6159,218764.30957,1,0,Douglaston,,,QUEENS,157,1
DOVER PLAINS,,,,,,,,,,,
DOWNTOWN,3,988835.91897,190969.97835,1,0,Down-,town,,BROOKLYN,87,2
DOWNTOWN FLUSHING,4,1031519.6597,216635.19539,1,0,Downtown,Flushing,,QUEENS,141,2
DRESDEN,,,,,,,,,,,
DRYDEN,,,,,,,,,,,
DUANE LAKE,,,,,,,,,,,
DUANESBURG,,,,,,,,,,,
DUMBO,3,987368.48227,195462.77021,1,0,Dumbo,,,BROOKLYN,286,1
DUNDEE,,,,,,,,,,,
DUNKIRK,,,,,,,,,,,
DYKER HEIGHTS,3,978888.17672,164875.31892,1,0,Dyker,Heights,,BROOKLYN,82,2
EARLVILLE,,,,,,,,,,,
EAST ATLANTIC BEACH,,,,,,,,,,,
