feature_name,b7sc
JEFFERSON PARK PLAYGROUND,11098002
T JEFFERSON PARK PLAY AREA,11098002
T JEFFERSON PARK PLAY CENTER,11098002
T JEFFERSON PARK PLAY GROUND,11098002
T JEFFERSON PARK PLAYGROUND,11098002
THOMAS JEFFERSON PARK PLAY AREA,11098002
THOMAS JEFFERSON PARK PLAY CTR,11098002
THOMAS JEFFERSON PARK PLAYGROUND,11098002
THOMAS JEFFERSON PRK PLAY GROUND,11098002
JEFFERSON BATH HOUSE,11098003
JEFFERSON BATHHOUSE,11098003
T JEFFERSON BATH HOUSE,11098003
T JEFFERSON BATHHOUSE,11098003
THOMAS JEFFERSON BATH HOUSE,11098003
THOMAS JEFFERSON BATHHOUSE,11098003
JEFFERSON POOL,11098004
JEFFERSON SWIM POOL,11098004
JEFFERSON SWIMMING POOL,11098004
T JEFFERSON POOL,11098004
T JEFFERSON SWIM POOL,11098004
T JEFFERSON SWIMMING POOL,11098004
THOMAS JEFFERSON POOL,11098004
THOMAS JEFFERSON SWIM POOL,11098004
THOMAS JEFFERSON SWIMMING POOL,11098004
KETT PLAZA,11101001
MONSIGNOR FRANCIS J KETT PLAZA,11101001
MONSIGNOR KETT PLAZA,11101001
MSGR FRANCIS J KETT PLAZA,11101001
10 AVENUE,11101002
TENTH AVENUE,11101002
10 AVENUE,11101002
TENTH AVENUE,11101002
11 AVENUE,11111001
ELEVENTH AVENUE,11111001
11 AVENUE,11111001
ELEVENTH AVENUE,11111001
12 AVENUE,11111201
TWELFTH AVENUE,11111201
12 AVENUE,11111201
TWELFTH AVENUE,11111201
DIMAGGIO HIGHWAY,11111503
JOE DIMAGGIO HIGHWAY,11111503
N Y    9 A,11111503
NY    9 A,11111503
SIDE HW,11111503
WEST SIDE HIGHWAY,11111503
WEST SIDE HW,11111503
WSH,11111503
WEST STREET,11111504
WEST STREET,11111504
C DANNY RICHARDS WAY,11111505
C RICHARDS WAY,11111505
CLAUDE DANNY RICHARDS WAY,11111505
CLAUDE RICHARDS WAY,11111505
DET C DANNY RICHARDS WAY,11111505
DET C RICHARDS WAY,11111505
DET CLAUDE DANNY RICHARDS WAY,11111505
DET CLAUDE RICHARDS WAY,11111505
DET RICHARDS WAY,11111505
DETECTIVE C DANNY RICHARDS WAY,11111505
DETECTIVE C RICHARDS WAY,11111505
DETECTIVE CLAUDE RICHARDS WAY,11111505
DETECTIVE RICHARDS WAY,11111505
RICHARDS WAY,11111505
WEST ST NORTHBOUND ROADBED,11111509
WEST STREET NORTHBOUND ROADBED,11111509
WORLD TRADE CENTER PATH STATION,11114501
WTC PATH STATION,11114501
KIPS BAY NORTH TOWER,11116502
KIPS BAY TOWER NORTH,11116502
KIPS BAY TOWERS NORTH,11116502
KIPS BAY TOWERS NORTH BUILDING,11116502
ABINGDON SQUARE,11121001
ALBIZU CAMPOS PLAZA II BLDG    3,11122002
ALBIZU CAMPOS PLZ    2 BLDG    3,11122002
ALBIZU CAMPOS PLZ TWO BLDG    3,11122002
ALBIZU-CAMPOS PLAZA II BLDG    3,11122002
ALBIZU-CAMPOS PLZ    2 BLDG    3,11122002
ALBIZU-CAMPOS PLZ TWO BLDG    3,11122002
CAMPOS PLAZA    2 BUILDING    3,11122002
CAMPOS PLAZA II BUILDING    3,11122002
CAMPOS PLAZA II HOUSES BLDG    3,11122002
CAMPOS PLAZA TWO BUILDING    3,11122002
CAMPOS PLZ    2 HOUSES BLDG    3,11122002
CAMPOS PLZ II PROJECTS BLDG    3,11122002
ALBIZU CAMPOS PLAZA II BLDG    4,11122003
ALBIZU CAMPOS PLZ    2 BLDG    4,11122003
ALBIZU CAMPOS PLZ TWO BLDG    4,11122003
ALBIZU-CAMPOS PLAZA II BLDG    4,11122003
ALBIZU-CAMPOS PLZ    2 BLDG    4,11122003
ALBIZU-CAMPOS PLZ TWO BLDG    4,11122003
CAMPOS PLAZA    2 BUILDING    4,11122003
CAMPOS PLAZA II BUILDING    4,11122003
CAMPOS PLAZA II HOUSES BLDG    4,11122003
CAMPOS PLAZA TWO BUILDING    4,11122003
CAMPOS PLZ    2 HOUSES BLDG    4,11122003
CAMPOS PLZ II PROJECTS BLDG    4,11122003
ALBIZU CAMPOS PLAZA II COMM CTR,11122004
ALBIZU-CAMPOS PLAZA II COMM CTR,11122004
CAMPOS PLAZA II COMM CENTER,11122004
CAMPOS PLAZA II COMMUNITY CENTER,11122004
BENNETT PARK,11122501
RIIS    2 HOUSES BUILDING   15,11124003
RIIS    2 PROJECTS BUILDING   15,11124003
RIIS II HOUSES BUILDING   15,11124003
RIIS II PROJECTS BUILDING   15,11124003
RIIS    2 HOUSES BUILDING   16,11124004
RIIS    2 PROJECTS BUILDING   16,11124004
RIIS II HOUSES BUILDING   16,11124004
RIIS II PROJECTS BUILDING   16,11124004
RIIS    2 HOUSES BUILDING   17,11124005
RIIS    2 PROJECTS BUILDING   17,11124005
RIIS II HOUSES BUILDING   17,11124005
RIIS II PROJECTS BUILDING   17,11124005
RIIS    2 HOUSES BUILDING   18,11124006
RIIS    2 PROJECTS BUILDING   18,11124006
RIIS II HOUSES BUILDING   18,11124006
RIIS II PROJECTS BUILDING   18,11124006
RIIS    2 HOUSES BUILDING   19,11124007
RIIS    2 PROJECTS BUILDING   19,11124007
RIIS II HOUSES BUILDING   19,11124007
RIIS II PROJECTS BUILDING   19,11124007
RIIS II HOUSES BUILDING   14,11124015
VLADECK    2 HOUSES BLDG   21,11124502
VLADECK    2 PROJECTS BLDG   21,11124502
VLADECK II HOUSES BUILDING   21,11124502
VLADECK II PROJECTS BLDG   21,11124502
VLADECK TWO HOUSES BUILDING   21,11124502
VLADECK TWO PROJECTS BLDG   21,11124502
VLADECK    2 HOUSES BLDG   22,11124503
VLADECK    2 PROJECTS BLDG   22,11124503
VLADECK II HOUSES BUILDING   22,11124503
VLADECK II PROJECTS BLDG   22,11124503
VLADECK TWO HOUSES BUILDING   22,11124503
VLADECK TWO PROJECTS BLDG   22,11124503
VLADECK    2 HOUSES BLDG   23,11124504
VLADECK    2 PROJECTS BLDG   23,11124504
VLADECK II HOUSES BUILDING   23,11124504
VLADECK II PROJECTS BLDG   23,11124504
VLADECK TWO HOUSES BUILDING   23,11124504
VLADECK TWO PROJECTS BLDG   23,11124504
VLADECK    2 HOUSES BLDG   24,11124505
VLADECK    2 PROJECTS BLDG   24,11124505
VLADECK II HOUSES BUILDING   24,11124505
VLADECK II PROJECTS BLDG   24,11124505
VLADECK TWO HOUSES BUILDING   24,11124505
